Drug name,DrugBank ID,ProteinName,UniProt ID
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit beta-1,P18505
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit beta-2,P47870
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit beta-3,P28472
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit delta,O14764
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit epsilon,P78334
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit pi,O00591
Acamprosate,DB00659,Gamma-aminobutyric acid receptor subunit theta,Q9UN88
Acamprosate,DB00659,"Glutamate receptor ionotropic, NMDA 1",Q05586
Acamprosate,DB00659,"Glutamate receptor ionotropic, NMDA 2A",Q12879
Acamprosate,DB00659,"Glutamate receptor ionotropic, NMDA 2B",Q13224
Acamprosate,DB00659,"Glutamate receptor ionotropic, NMDA 2C",Q14957
Acamprosate,DB00659,"Glutamate receptor ionotropic, NMDA 2D",O15399
Acamprosate,DB00659,"Glutamate receptor ionotropic, NMDA 3A",Q8TCU5
Acamprosate,DB00659,"Glutamate receptor ionotropic, NMDA 3B",O60391
Acamprosate,DB00659,Metabotropic glutamate receptor 5,P41594
Acarbose,DB00284,"Maltase-glucoamylase, intestinal",O43451
Acarbose,DB00284,Lysosomal alpha-glucosidase,P10253
Acarbose,DB00284,"Sucrase-isomaltase, intestinal",P14410
Acarbose,DB00284,Pancreatic alpha-amylase,P04746
Acebutolol,DB01193,Beta-1 adrenergic receptor,P08588
Acebutolol,DB01193,Beta-2 adrenergic receptor,P07550
Acetaminophen,DB00316,Prostaglandin G/H synthase 1,P23219
Acetaminophen,DB00316,Prostaglandin G/H synthase 2,P35354
Acetaminophen,DB00316,Prostaglandin E synthase 3,Q15185
Acetaminophen,DB00316,Transient receptor potential cation channel subfamily V member 1,Q8NER1
Acetazolamide,DB00819,Carbonic anhydrase 1,P00915
Acetazolamide,DB00819,Carbonic anhydrase 2,P00918
Acetazolamide,DB00819,Carbonic anhydrase 4,P22748
Acetazolamide,DB00819,Carbonic anhydrase 12,O43570
Acetazolamide,DB00819,Carbonic anhydrase 14,Q9ULX7
Acetazolamide,DB00819,Carbonic anhydrase 3,P07451
Acetazolamide,DB00819,Carbonic anhydrase 7,P43166
Acetazolamide,DB00819,Aquaporin-1,P29972
Acetohexamide,DB00414,ATP-sensitive inward rectifier potassium channel 1,P48048
Acetophenazine,DB01063,D(2) dopamine receptor,P14416
Acetophenazine,DB01063,Androgen receptor,P10275
Adapalene,DB00210,Retinoic acid receptor beta,P10826
Adapalene,DB00210,Retinoic acid receptor gamma,P13631
Adapalene,DB00210,Retinoic acid receptor RXR-beta,P28702
Adapalene,DB00210,Retinoic acid receptor RXR-gamma,P48443
Adapalene,DB00210,Retinoic acid receptor RXR-alpha,P19793
Adapalene,DB00210,Transcription factor AP-1,P05412
Adapalene,DB00210,Toll-like receptor 2,O60603
Adapalene,DB00210,Retinoic acid receptor alpha,P10276
Adapalene,DB00210,"Aspartate aminotransferase, cytoplasmic",P17174
Adenosine,DB00640,Adenosine receptor A2a,P29274
Adenosine,DB00640,Adenosine receptor A2b,P29275
Adenosine,DB00640,Adenosine receptor A3,P0DMS8
Adenosine,DB00640,Adenosine receptor A1,P30542
Alclometasone,DB00240,Glucocorticoid receptor,P04150
Alfuzosin,DB00346,Alpha-1A adrenergic receptor,P35348
Alfuzosin,DB00346,Alpha-1B adrenergic receptor,P35368
Alfuzosin,DB00346,Alpha-1D adrenergic receptor,P25100
Alfuzosin,DB00346,Potassium voltage-gated channel subfamily H member 2,Q12809
Aliskiren,DB09026,Renin,P00797
Alitretinoin,DB00523,Retinoic acid receptor alpha,P10276
Alitretinoin,DB00523,Retinoic acid receptor RXR-alpha,P19793
Alitretinoin,DB00523,Retinoic acid receptor beta,P10826
Alitretinoin,DB00523,Retinoic acid receptor RXR-beta,P28702
Alitretinoin,DB00523,Retinoic acid receptor gamma,P13631
Alitretinoin,DB00523,Retinoic acid receptor RXR-gamma,P48443
Alitretinoin,DB00523,Insulin-like growth factor-binding protein 3,P17936
