ProteinName,UniProt ID,DiseaseName,UMLS concept ID
"Nitric oxide synthase, brain",P29475,Restless Legs Syndrome,C0035258
Renin,P00797,Restless Legs Syndrome,C0035258
Thymidylate synthase,P04818,Restless Legs Syndrome,C0035258
D(4) dopamine receptor,P21917,Restless Legs Syndrome,C0035258
Alcohol dehydrogenase 1B,P00325,Restless Legs Syndrome,C0035258
Gamma-aminobutyric acid receptor subunit alpha-4,P48169,Restless Legs Syndrome,C0035258
Serotransferrin,P02787,Restless Legs Syndrome,C0035258
D(3) dopamine receptor,P35462,Restless Legs Syndrome,C0035258
Heme oxygenase 2,P30519,Restless Legs Syndrome,C0035258
Tyrosine 3-monooxygenase,P07101,Restless Legs Syndrome,C0035258
Sodium-dependent dopamine transporter,Q01959,Restless Legs Syndrome,C0035258
Tumor necrosis factor,P01375,Restless Legs Syndrome,C0035258
Heme oxygenase 1,P09601,Restless Legs Syndrome,C0035258
D(2) dopamine receptor,P14416,Restless Legs Syndrome,C0035258
Vitamin D3 receptor,P11473,Restless Legs Syndrome,C0035258
C-reactive protein,P02741,Restless Legs Syndrome,C0035258
Alpha-synuclein,P37840,Restless Legs Syndrome,C0035258
Excitatory amino acid transporter 2,P43004,Restless Legs Syndrome,C0035258
Low-density lipoprotein receptor-related protein 2,P98164,Restless Legs Syndrome,C0035258
Pro-opiomelanocortin,P01189,Restless Legs Syndrome,C0035258
Alpha-1-antitrypsin,P01009,Restless Legs Syndrome,C0035258
Lactoylglutathione lyase,Q04760,Restless Legs Syndrome,C0035258
Kininogen-1,P01042,Restless Legs Syndrome,C0035258
Interleukin-1 beta,P01584,Restless Legs Syndrome,C0035258
GTP cyclohydrolase 1,P30793,Restless Legs Syndrome,C0035258
Molybdenum cofactor sulfurase,Q96EN8,Restless Legs Syndrome,C0035258
Amine oxidase [flavin-containing] B,P27338,Restless Legs Syndrome,C0035258
Amine oxidase [flavin-containing] A,P21397,Restless Legs Syndrome,C0035258
CAD protein,P27708,Restless Legs Syndrome,C0035258
Histamine N-methyltransferase,P50135,Restless Legs Syndrome,C0035258
Complement C3,P01024,Restless Legs Syndrome,C0035258
Gamma-aminobutyric acid receptor subunit rho-2,P28476,Restless Legs Syndrome,C0035258
Gamma-aminobutyric acid receptor subunit rho-3,A8MPY1,Restless Legs Syndrome,C0035258
Trafficking protein particle complex subunit 6B,Q86SZ2,Restless Legs Syndrome,C0035258
Gamma-aminobutyric acid receptor subunit alpha-4,P48169,Restless Legs Syndrome,C0035258
Transferrin receptor protein 1,P02786,Restless Legs Syndrome,C0035258
Amine oxidase [flavin-containing] A,P21397,Restless Legs Syndrome,C0035258
Amine oxidase [flavin-containing] B,P27338,Restless Legs Syndrome,C0035258
Utrophin,P46939,Restless Legs Syndrome,C0035258
Interleukin-17A,Q16552,Restless Legs Syndrome,C0035258
Natural resistance-associated macrophage protein 2,P49281,Restless Legs Syndrome,C0035258
Transferrin receptor protein 1,P02786,Restless Legs Syndrome,C0035258
"Frataxin, mitochondrial",Q16595,Restless Legs Syndrome,C0035258
Nuclear receptor subfamily 4 group A member 3,Q92570,Restless Legs Syndrome,C0035258
Neural cell adhesion molecule L1,P32004,Restless Legs Syndrome,C0035258
D(2) dopamine receptor,P14416,Restless Legs Syndrome,C0035258
D(3) dopamine receptor,P35462,Restless Legs Syndrome,C0035258
D(4) dopamine receptor,P21917,Restless Legs Syndrome,C0035258
Leucine-rich repeat serine/threonine-protein kinase 2,Q5S007,Restless Legs Syndrome,C0035258
Dual specificity mitogen-activated protein kinase kinase 5,Q13163,Restless Legs Syndrome,C0035258
15-hydroxyprostaglandin dehydrogenase [NAD(+)],P15428,Acro-Osteolysis,C0917990
Tumor necrosis factor,P01375,Acro-Osteolysis,C0917990
15-hydroxyprostaglandin dehydrogenase [NAD(+)],P15428,Acro-Osteolysis,C0917990
Tumor necrosis factor,P01375,Acro-Osteolysis,C0917990
Alcohol dehydrogenase class-3,P11766,"Alcoholic Intoxication, Chronic",C0001973
D(1A) dopamine receptor,P21728,"Alcoholic Intoxication, Chronic",C0001973
Transketolase,P29401,"Alcoholic Intoxication, Chronic",C0001973
Endothelin B receptor,P24530,"Alcoholic Intoxication, Chronic",C0001973
Prothrombin,P00734,"Alcoholic Intoxication, Chronic",C0001973
Matrix metalloproteinase-9,P14780,"Alcoholic Intoxication, Chronic",C0001973
Cannabinoid receptor 1,P21554,"Alcoholic Intoxication, Chronic",C0001973
Peroxisome proliferator-activated receptor alpha,Q07869,"Alcoholic Intoxication, Chronic",C0001973
Retinoic acid receptor RXR-beta,P28702,"Alcoholic Intoxication, Chronic",C0001973
Tryptophan 5-hydroxylase 2,Q8IWU9,"Alcoholic Intoxication, Chronic",C0001973
Cannabinoid receptor 2,P34972,"Alcoholic Intoxication, Chronic",C0001973
Diamine acetyltransferase 1,P21673,"Alcoholic Intoxication, Chronic",C0001973
Adenine phosphoribosyltransferase,P07741,"Alcoholic Intoxication, Chronic",C0001973
Synaptic vesicular amine transporter,Q05940,"Alcoholic Intoxication, Chronic",C0001973
Tryptophan 5-hydroxylase 1,P17752,"Alcoholic Intoxication, Chronic",C0001973
Estrogen receptor,P03372,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid receptor subunit rho-1,P24046,"Alcoholic Intoxication, Chronic",C0001973
Corticosteroid 11-beta-dehydrogenase isozyme 2,P80365,"Alcoholic Intoxication, Chronic",C0001973
Androgen receptor,P10275,"Alcoholic Intoxication, Chronic",C0001973
"Aldehyde dehydrogenase, mitochondrial",P05091,"Alcoholic Intoxication, Chronic",C0001973
Dopamine beta-hydroxylase,P09172,"Alcoholic Intoxication, Chronic",C0001973
Sigma non-opioid intracellular receptor 1,Q99720,"Alcoholic Intoxication, Chronic",C0001973
Glutathione synthetase,P48637,"Alcoholic Intoxication, Chronic",C0001973
Sodium channel protein type 11 subunit alpha,Q9UI33,"Alcoholic Intoxication, Chronic",C0001973
Platelet-derived growth factor receptor beta,P09619,"Alcoholic Intoxication, Chronic",C0001973
Plasminogen,P00747,"Alcoholic Intoxication, Chronic",C0001973
Histo-blood group ABO system transferase,P16442,"Alcoholic Intoxication, Chronic",C0001973
Peroxisome proliferator-activated receptor gamma,P37231,"Alcoholic Intoxication, Chronic",C0001973
Gamma-aminobutyric acid type B receptor subunit 1,Q9UBS5,"Alcoholic Intoxication, Chronic",C0001973
Ribosyldihydronicotinamide dehydrogenase [quinone],P16083,"Alcoholic Intoxication, Chronic",C0001973
Angiotensin-converting enzyme,P12821,"Alcoholic Intoxication, Chronic",C0001973
Alcohol dehydrogenase 1A,P07327,"Alcoholic Intoxication, Chronic",C0001973
Muscarinic acetylcholine receptor M5,P08912,"Alcoholic Intoxication, Chronic",C0001973
Sodium- and chloride-dependent GABA transporter 1,P30531,"Alcoholic Intoxication, Chronic",C0001973
Tyrosinase,P14679,"Alcoholic Intoxication, Chronic",C0001973
"4-aminobutyrate aminotransferase, mitochondrial",P80404,"Alcoholic Intoxication, Chronic",C0001973
"Nitric oxide synthase, endothelial",P29474,"Alcoholic Intoxication, Chronic",C0001973
Adenylate cyclase type 1,Q08828,"Alcoholic Intoxication, Chronic",C0001973
Renin,P00797,"Alcoholic Intoxication, Chronic",C0001973
Alpha-2A adrenergic receptor,P08913,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 1A,P08908,"Alcoholic Intoxication, Chronic",C0001973
5-hydroxytryptamine receptor 3A,P46098,"Alcoholic Intoxication, Chronic",C0001973
"Glutamate receptor ionotropic, kainate 1",P39086,"Alcoholic Intoxication, Chronic",C0001973
"Acetyl-coenzyme A synthetase, cytoplasmic",Q9NR19,"Alcoholic Intoxication, Chronic",C0001973
ALK tyrosine kinase receptor,Q9UM73,"Alcoholic Intoxication, Chronic",C0001973
Alcohol dehydrogenase 4,P08319,"Alcoholic Intoxication, Chronic",C0001973
Coagulation factor IX,P00740,"Alcoholic Intoxication, Chronic",C0001973
"Glutamate receptor ionotropic, NMDA 1",Q05586,"Alcoholic Intoxication, Chronic",C0001973
